"Mousenberg"	Translation	Positive	Negative	EmotionRationale
"uuh"	"uh"	1	-1	 uuh/uh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Thanks for the Breaking Bad adventures Lei"	"Thanks for the Breaking Bad adventures Lei"	2	-2	 Thanks[1] for[0] the[0] Breaking[0] Bad[-1] adventures[0] Lei[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
"Oh shiz"	"Oh shiz"	1	-1	 Oh[0] shiz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Kids will love that name"	"Kids will love that name"	3	-1	 Kids[0] will[0] love[2] that[0] name[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Hairy cheese?"	"Hairy cheese?	1	-1	 Hairy[0] cheese[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Gre3n crack with two doughnuts makes explosive, can blow everyone up...."	"Gre3n crack with two doughnuts makes explosive, can blow everyone up.	1	-2	 Gre3n[0] crack[0] with[0] two[0] doughnuts[0] makes[0] explosive[-1] can[0] blow[0] everyone[0] up[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"honestly making the names has been half the fun"	"honestly making the names has been half the fun"	2	-1	 honestly[0] making[0] the[0] names[0] has[0] been[0] half[0] the[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"is chat working in the game? or we re free?"	"is chat working in the game?<br> or we re free?	1	-1	 is[0] chat[0] working[0] in[0] the[0] game[0] [[Sentence=-1,1=word max, 1-5]] or[0] we[0] re[0] free[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
":3"	":3"	1	-1	 ":3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Dees"	"Dees"	1	-1	 Dees[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"is hammur pink"	"is hammur pink"	1	-1	 is[0] hammur[0] pink[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"product testing"	"product testing"	1	-1	 product[0] testing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Hammer :3"	"Hammer :3"	1	-1	 Hammer[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Deez buds"	"Deez buds"	1	-1	 Deez[0] buds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Deez hammurs :3"	"Deez hammurs :3"	1	-1	 Deez[0] hammurs[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"hammur :3"	"hammur :3"	1	-1	 hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
